language,number
en,47243553
und,5091221
fr,4696481
de,3713933
it,2380286
es,1913108
ja,1860386
pl,1248225
th,1175071
hi,1125227
uk,1050358
ru,1024397
tr,979066
ar,331503
fi,313008
zh,295715
pt,287375
nl,255398
in,188181
el,165964
fa,163397
cs,145621
sv,120585
ta,110694
ko,101265
da,75449
et,74893
ro,71427
ur,63331
ca,61943
lv,57648
no,41277
tl,38673
sl,29638
ht,23747
iw,22071
gu,20775
bn,17449
te,15894
eu,15582
lt,14920
kn,14156
sr,13391
mr,13173
bg,12332
cy,12095
vi,11847
ml,7136
hu,6941
ka,6526
pa,5685
or,4288
is,4255
am,3373
my,2954
ne,2716
ckb,2229
ps,1998
si,1040
sd,564
hy,533
km,240
lo,88
ug,84
dv,76
bo,20
