date,Ukraine,Russia,StandWithUkraine,Putin,UkraineRussiaWar,StopRussia,StopPutin,NATO,Russian,Kyiv
Feb-23,3300,3058,440,2224,0,2,15,470,318,75
Feb-24,812373,314461,179946,239680,1253,6612,13797,59184,40905,39615
Feb-25,2206770,659808,647388,338973,4846,32196,123700,151971,65886,132556
Feb-26,2345772,585295,660822,310528,89957,173115,163692,105232,119131,197287
Feb-27,2195563,549506,560680,314656,257406,121821,120799,86367,154006,158040
Feb-28,1645522,423865,329716,226289,487234,217143,210134,69978,71293,90674
Mar-1,1556274,402347,346922,214579,510488,236950,236860,67966,57560,110001
Mar-2,1304224,415034,326594,199956,457085,82810,86955,49740,58795,81788
Mar-3,1126578,356885,237376,247517,276078,53799,122478,48362,55198,64367
Mar-4,1023753,287073,156840,406355,163207,116743,304824,75941,52163,62950
Mar-5,876501,275012,164737,191713,103417,109180,113872,65639,45254,48773
Mar-6,924149,297090,138199,240882,96683,93995,128026,54535,56304,52485
Mar-7,943847,284740,116011,129206,60545,81573,49389,40650,60399,51401
Mar-8,741920,242076,142642,107718,60269,36716,37992,45967,34165,26768
Mar-9,675299,214942,159348,87089,51512,84527,42955,52386,36490,20186
Mar-10,507188,201750,125502,77234,43790,52743,29857,26118,26670,19158
Mar-11,527414,189002,138131,78878,64617,62269,42088,35548,36429,20866
Mar-12,533857,168328,131937,68742,76859,55559,28334,29852,30708,32242
Mar-13,597592,166629,135565,69043,76419,58987,55003,37863,31563,30600
Mar-14,512837,167263,136253,62583,72517,27779,32772,32911,23443,31540
Mar-15,536553,178862,135061,90619,59864,34303,30608,39224,31141,44358
Mar-16,520452,156209,117637,75249,74478,46363,23872,39878,28664,29180
Mar-17,502499,153022,119971,78983,66909,51748,17233,26950,35364,24745
Mar-18,457627,181562,132007,97815,75477,51639,29449,25730,27310,20079
Mar-19,401024,156407,119694,80027,48431,32085,39543,26315,32913,20573
Mar-20,448450,161800,133680,72312,70382,26831,41335,21470,35532,31586
Mar-21,441469,154299,129886,63724,75158,33559,29645,26756,24724,33388
Mar-22,354901,152639,90614,58554,42290,32903,19890,21445,28817,26769
Mar-23,365171,150039,86907,60519,34993,27111,13246,22605,21824,27685
Mar-24,378246,128985,92390,52642,71374,22839,14678,74016,21340,25247
Mar-25,300836,107139,87159,46978,39652,14635,11427,48807,25797,16756
Mar-26,302722,122438,90307,52222,36954,13765,18421,27251,25072,11670
Mar-27,264670,102675,66282,50696,24884,14823,12316,19060,22009,9647
Mar-28,247070,104857,59784,46106,24725,15133,8133,15008,16189,12644
Mar-29,210182,96936,38595,32764,33059,13693,7087,14744,15840,18859
Mar-30,214149,87750,41001,36495,37473,14522,8406,12496,14893,14664
Mar-31,228213,84132,42320,43196,33700,14350,12319,12380,16238,16723
Apr-1,203482,84775,45933,35142,28256,23949,9479,10397,13930,18655
Apr-2,224893,100343,73242,25151,29813,19851,10545,10818,16643,28477
Apr-3,361184,134395,95735,50450,52227,39255,12978,18744,22112,40762
Apr-4,276117,119897,107351,45313,41132,51629,9157,19438,22693,19696
Apr-5,278096,147126,86012,42734,52372,47464,8827,15880,21280,13866
Apr-6,244916,106015,68803,39256,31391,23533,7250,17193,17036,13705
Apr-7,230869,100302,73332,31902,19623,15631,7106,22881,19503,12908
Apr-8,244051,107600,62108,32967,19291,27578,7241,16168,17620,10235
Apr-9,228552,87312,74026,34543,15640,17407,7359,13864,24605,9015
Apr-10,221022,74175,54448,36266,23934,25096,6817,14681,13558,22089
Apr-11,211788,83555,38122,36268,22998,17412,5809,20453,29804,15156
Apr-12,214936,69846,42021,31769,20380,13727,3769,16182,15992,6189
Apr-13,240986,80615,46993,32918,18071,11153,3510,32458,18583,8975
Apr-14,211479,72731,34817,32622,26597,11740,3800,22655,13580,5878
Apr-15,192527,67726,34332,27803,25538,14289,4327,26572,12527,10057
Apr-16,169604,70870,29363,25879,15646,11819,7155,14523,9716,8486
Apr-17,169192,71854,28646,21752,19232,29914,17843,11769,12159,7268
Apr-18,190922,91515,34736,25772,26251,23970,12392,14041,14512,4914
Apr-19,225497,85207,48848,27506,24391,53853,5273,13638,14604,3963
Apr-20,184396,63767,40231,23701,32027,17877,3991,15971,10931,6252
Apr-21,164593,63027,28311,31350,20569,14743,4984,11299,16649,4650
Apr-22,146626,61766,28649,33052,16914,11914,4464,14315,12846,5425
Apr-23,166801,56815,34543,26483,23475,16513,5046,10938,11823,4892
Apr-24,159917,53489,34853,29487,17582,12290,5871,9905,15285,4129
Apr-25,161495,65200,27259,22143,14728,8176,3832,13856,19474,3005
Apr-26,169766,68364,37753,27137,23926,8733,4283,16305,12708,3586
Apr-27,193872,83631,38901,27902,21874,9029,4422,14294,13887,4066
Apr-28,197144,63669,32015,26784,24978,10090,6854,16456,14418,7575
Apr-29,175201,51012,28008,22426,19205,8901,4991,11121,15564,6808
Apr-30,154003,51869,38706,23193,11238,10512,3283,11823,12735,3471
May-1,196381,64716,34162,22128,19280,8875,5179,9042,12731,6420
May-2,149850,72285,40417,24049,19092,9963,5057,10645,11594,3918
May-3,157669,66383,40756,25968,25273,11244,4246,13654,15787,5252
May-4,155011,58996,38837,22482,15165,10654,3994,16819,13540,4620
May-5,147624,57902,32866,21156,17111,9622,4855,12007,13077,3522
May-6,148318,61173,23208,20067,17859,7238,5495,11232,9624,3504
May-7,146552,58244,23143,19223,18646,7335,4511,13220,9638,4972
May-8,172302,61793,62280,21601,13151,9831,3669,14225,11578,10799
May-9,169080,73810,52394,48332,10736,7912,4164,12197,10234,12104
May-10,158731,66756,32849,26247,9003,5756,4140,10071,12085,4116
May-11,139966,54198,26074,24207,8398,3944,2946,11663,10632,1710
May-12,133933,58409,22723,20142,10583,5262,2935,33600,10372,2572
May-13,130613,51857,19559,32503,11471,4782,2097,24913,9302,1708
May-14,134156,42374,26229,24871,13829,3563,2399,21323,10988,2865
May-15,157766,46768,41179,15918,11302,4730,2579,30082,9949,3569
May-16,145677,52637,29303,20643,12407,3910,1838,32745,9343,1993
May-17,116972,45048,26593,19238,8171,4836,2065,30819,7899,1745
May-18,102926,48125,24430,18492,9560,4561,1790,37218,9658,1983
May-19,71382,33900,21429,9424,7110,3061,1460,16670,5837,3501
May-20,112088,48097,35692,12053,10912,4513,2462,14951,9147,4105
May-21,105877,43677,19653,13532,8721,4213,1623,12997,10352,1935
May-22,100903,44095,20114,12278,11600,4514,2916,10169,6867,2241
May-23,104212,46782,21579,14486,16612,8053,2135,10375,7705,1333
May-24,104454,44322,22956,13600,15577,9163,1936,11744,8597,1567
May-25,97040,35404,18433,14585,12048,7054,1811,9884,7750,1194
May-26,108578,41796,34826,19032,13329,4461,1629,9043,5867,1959
May-27,106965,51999,29668,16885,14494,5841,1726,9852,9309,1657
