date,en,und,fr,de,it,es,ja,pl,ru,uk
Feb-23,9768,1329,313,337,558,315,34,3105,3194,220
Feb-24,978428,116058,474226,57445,64946,146682,18985,48093,28731,9719
Feb-25,2230287,250584,318532,136150,76909,139716,93934,88455,42817,27895
Feb-26,2434877,337215,201300,169537,68197,116024,130222,95060,39558,25028
Feb-27,2199975,262828,244755,185368,70929,140221,129858,85145,41231,33756
Feb-28,1848918,204763,246828,117945,73008,108958,84811,70573,40066,30538
Mar-1,1759303,192542,235774,107108,71939,101342,67442,52961,35911,28192
Mar-2,1553925,174665,178886,103115,69554,92082,52822,47980,33348,29151
Mar-3,1665016,181854,142530,94503,52915,72525,53898,41453,25529,29937
Mar-4,1553806,141107,106214,95023,47563,60823,54310,30986,22115,35045
Mar-5,1205448,137191,100289,84195,45992,49081,60950,27304,18628,37319
Mar-6,1308187,136823,112019,77887,48885,45745,43077,24327,19303,36702
Mar-7,1214622,113578,115833,68565,47615,42595,41215,23797,17791,34010
Mar-8,954563,97843,88858,56356,42961,33568,33833,21376,13846,29960
Mar-9,894175,87424,86054,53993,37809,29772,29265,22444,15165,27996
Mar-10,691634,65704,69726,48897,29767,24383,25887,17608,10541,17126
Mar-11,730742,74455,57977,48916,36002,22027,23170,17797,12782,22518
Mar-12,674969,81101,88345,40861,30545,24658,23930,18065,19647,24905
Mar-13,734784,82626,78768,46693,30992,23339,25837,18460,18090,23242
Mar-14,636206,65808,80530,36738,31518,20276,24901,17868,11953,17453
Mar-15,647082,67775,60361,48822,32773,19512,24685,17139,11394,12522
Mar-16,632092,68445,46536,40154,28763,19409,24892,18067,9517,17527
Mar-17,616338,68313,63371,46507,25180,20100,22312,16432,9930,21932
Mar-18,625926,66625,60285,39065,33093,17340,26688,15442,10689,19298
Mar-19,542840,63756,43147,34029,28335,12979,21184,13592,9503,15222
Mar-20,590330,62829,44639,35569,29225,15459,16506,12907,10005,14732
Mar-21,586372,64772,48231,38051,30821,15206,15009,12220,10358,14754
Mar-22,493361,52885,36938,30226,29440,13902,13933,13763,11408,14407
Mar-23,437440,47040,41541,33255,28864,13805,24546,12367,12970,11192
Mar-24,478955,61698,47547,31490,32012,16146,19220,10094,11176,15141
