day,daily_users,daily_tweets
Feb-23,15705,22740
Feb-24,1214188,2352003
Feb-25,1801705,3997584
Feb-26,1618355,4027485
Feb-27,1443422,3762020
Feb-28,1210382,3167455
Mar-1,1163792,3050607
Mar-2,1038720,2628486
Mar-3,926791,2892043
Mar-4,833170,2396854
Mar-5,713471,1934266
Mar-6,720616,1982330
Mar-7,766606,1838330
Mar-8,630077,1466125
Mar-9,622566,1453713
Mar-10,478822,1067689
Mar-11,465976,1107978
Mar-12,446401,1085582
Mar-13,434525,1138400
Mar-14,415517,995092
Mar-15,419882,995767
Mar-16,435672,982095
Mar-17,422658,962171
Mar-18,419720,960853
Mar-19,335619,825088
Mar-20,341071,875569
Mar-21,354056,884823
Mar-22,311393,748688
Mar-23,289280,698314
Mar-24,329569,770915
Mar-25,267532,612233
Mar-26,251171,608478
Mar-27,226549,529504
Mar-28,215027,487217
Mar-29,187399,419553
Mar-30,191348,421240
Mar-31,202449,442421
Apr-1,182731,412778
Apr-2,189592,454576
Apr-3,278804,721685
Apr-4,259869,618069
Apr-5,271695,613541
Apr-6,229403,506522
Apr-7,220511,481950
Apr-8,212783,483729
Apr-9,193244,444231
Apr-10,174571,402032
Apr-11,174158,401888
Apr-12,177694,392054
Apr-13,182640,440644
Apr-14,189080,409549
Apr-15,163704,377294
Apr-16,147120,344037
Apr-17,154100,359673
Apr-18,170663,396723
Apr-19,197481,454303
Apr-20,160791,355061
Apr-21,142146,331034
Apr-22,133436,305095
Apr-23,144690,334252
Apr-24,142755,321408
Apr-25,130645,303711
Apr-26,147271,343281
Apr-27,143987,356886
Apr-28,145992,355179
Apr-29,134005,305894
Apr-30,130180,296992
May-1,139405,333819
May-2,139016,314230
May-3,141097,312784
May-4,138278,300033
May-5,128530,282043
May-6,121815,273280
May-7,116921,279232
May-8,156260,351429
May-9,169442,371957
May-10,125032,272020
May-11,115107,254718
May-12,121122,267200
May-13,116327,250351
May-14,123275,259501
May-15,142812,299676
May-16,129866,284562
May-17,114298,247941
May-18,110177,238620
May-19,82904,163192
May-20,106076,226020
May-21,91835,201747
May-22,89110,189271
May-23,99018,212091
May-24,96196,199731
May-25,82927,179317
May-26,97540,207915
May-27,99338,207852
May-28,123361,242831
May-29,115712,235454
May-30,92436,206093
May-31,84136,186994
Jun-1,88493,194058
Jun-2,79381,166972
Jun-3,87311,188766
Jun-4,74890,168607
Jun-5,87170,200731
Jun-6,77578,170903
Jun-7,79543,175930
Jun-8,79881,183332
Jun-9,77205,182514
Jun-10,78888,176658
Jun-11,77245,176318
Jun-12,76375,175696
Jun-13,71589,164759
Jun-14,60332,128390
Jun-15,73114,169412
Jun-16,88375,200478
Jun-17,81430,178415
Jun-18,70142,151051
Jun-19,65194,145590
Jun-20,74549,166564
Jun-21,74796,158248
Jun-22,71667,159159
Jun-23,84333,179676
Jun-24,76705,162005
Jun-25,63659,137684
Jun-26,79726,182568
Jun-27,97812,216178
Jun-28,115628,246091
Jun-29,117080,240913
Jun-30,85226,169089
Jul-1,80724,163650
Jul-2,71151,145615
Jul-3,66076,135203
Jul-4,66578,139255
Jul-5,69023,141492
Jul-6,63376,125128
Jul-7,62593,127728
Jul-8,64664,133029
Jul-9,57777,119984
Jul-10,67730,135665
Jul-11,74920,145558
Jul-12,67672,135234
Jul-13,57100,119758
Jul-14,78700,160343
Jul-15,71120,141980
Jul-16,53453,110384
Jul-17,66792,126528
Jul-18,64636,126866
Jul-19,59932,120272
Jul-20,66721,135559
Jul-21,68666,131626
Jul-22,63259,124005
Jul-23,58933,119036
Jul-24,50661,106318
Jul-25,54354,110939
Jul-26,53733,108822
Jul-27,59958,112776
Jul-28,73816,147314
Jul-29,92424,179954
Jul-30,73066,141515
Jul-31,66160,135196
Aug-1,62485,122608
Aug-2,71866,131833
Aug-3,64594,121159
Aug-4,63216,121857
Aug-5,61459,120998
Aug-6,68348,132187
Aug-7,73813,136826
Aug-8,63683,125369
Aug-9,58029,121519
Aug-10,50483,105378
Aug-11,53753,110189
Aug-12,43997,89380
Aug-13,45746,94308
Aug-14,44882,93538
Aug-15,55292,113157
Aug-16,56003,114333
Aug-17,56696,115054
Aug-18,61435,123191
Aug-19,61848,127020
Aug-20,62192,129536
Aug-21,68155,133841
Aug-22,65732,130967
Aug-23,64101,131378
Aug-24,123390,247779
Aug-25,79011,157018
Aug-26,68746,137166
Aug-27,54552,108005
Aug-28,51835,102978
Aug-29,65457,136040
Aug-30,67158,143758
Aug-31,72024,145760
Sep-1,71869,140161
Sep-2,60955,121972
Sep-3,65303,133991
Sep-4,68372,139605
Sep-5,81890,156857
Sep-6,88950,160933
Sep-7,74565,163553
Sep-8,76649,168072
Sep-9,69767,155944
Sep-10,85349,199259
Sep-11,106168,253597
Sep-12,94902,215892
Sep-13,88483,196044
Sep-14,95210,209552
Sep-15,82942,178638
Sep-16,85214,179858
Sep-17,87127,188446
Sep-18,80592,167805
Sep-19,76173,157851
Sep-20,81494,178182
Sep-21,177529,398435
Sep-22,148271,304057
Sep-23,110285,226820
Sep-24,91864,195457
Sep-25,102590,212293
Sep-26,90601,193713
Sep-27,99911,206622
Sep-28,101861,210098
Sep-29,88350,183448
Sep-30,143178,311572
Oct-1,119968,265458
Oct-2,110268,267215
Oct-3,105526,253990
Oct-4,103629,242231
Oct-5,98553,203551
Oct-6,98302,208520
Oct-7,100286,208633
Oct-8,123518,250987
Oct-9,108299,216594
Oct-10,209528,484777
Oct-11,141846,301100
Oct-12,113221,264313
Oct-13,113693,241519
Oct-14,101436,209204
Oct-15,80689,165094
Oct-16,85740,176630
Oct-17,96987,204249
Oct-18,84574,177765
Oct-19,90141,183201
Oct-20,90047,182016
Oct-21,84348,164226
Oct-22,80414,203123
Oct-23,85191,182409
Oct-24,73842,158516
Oct-25,75277,158081
Oct-26,76681,179243
Oct-27,73984,154762
Oct-28,77941,155905
Oct-29,74403,161617
Oct-30,63671,135232
Oct-31,71125,151178
Nov-1,69161,143463
Nov-2,63762,131267
Nov-3,63124,134231
Nov-4,66577,136141
Nov-5,63947,131891
Nov-6,57612,122394
Nov-7,61617,128001
Nov-8,52679,107700
Nov-9,57586,119991
Nov-10,54209,116798
Nov-11,75670,168106
Nov-12,64142,133255
Nov-13,61984,130540
Nov-14,59363,121081
Nov-15,130358,254490
Nov-16,140136,266256
Nov-17,84856,167264
Nov-18,65223,127823
Nov-19,59505,123655
Nov-20,55487,114663
Nov-21,57775,115404
Nov-22,54313,109463
Nov-23,63983,133257
Nov-24,64002,130619
Nov-25,60872,126156
Nov-26,59252,124392
Nov-27,53460,112006
Nov-28,48901,100375
Nov-29,48295,102783
Nov-30,57275,113910
Dec-1,55012,111483
Dec-2,51287,103745
Dec-3,54458,111246
Dec-4,61659,123300
Dec-5,66339,140607
Dec-6,65042,129554
Dec-7,57836,115436
Dec-8,54185,106319
Dec-9,54717,104180
Dec-10,58763,110017
Dec-11,63126,118560
Dec-12,60106,114969
Dec-13,50382,96766
Dec-14,55949,108108
Dec-15,58462,113373
Dec-16,55101,113380
Dec-17,53284,110114
Dec-18,51101,103354
